    Time   Pump 2       LT     Flow 
    68.20    4.500    4.505    2.760
    68.30    4.500    4.505    2.760
    68.40    4.500    4.505    2.760
    68.50    4.500    4.505    2.760
    68.60    4.500    4.510    2.760
    68.70    4.500    4.505    2.760
    68.80    4.500    4.510    2.760
    68.90    4.500    4.510    2.755
    69.00    4.500    4.510    2.760
    69.10    4.500    4.510    2.760
    69.20    4.500    4.510    2.760
    69.30    4.500    4.515    2.760
    69.40    4.500    4.515    2.760
    69.50    4.500    4.515    2.760
    69.60    4.500    4.515    2.760
    69.70    4.500    4.520    2.760
    69.80    4.500    4.520    2.760
    69.90    4.500    4.520    2.760
    70.00    4.500    4.520    2.760
    70.10    4.500    4.520    2.755
    70.20    4.500    4.525    2.755
    70.30    4.500    4.525    2.755
    70.40    4.500    4.525    2.755
    70.50    4.500    4.525    2.755
    70.60    4.500    4.525    2.755
    70.70    4.500    4.525    2.755
    70.80    4.500    4.525    2.755
    70.90    4.500    4.525    2.755
    71.00    4.500    4.525    2.755
    71.10    4.500    4.525    2.755
    71.20    4.500    4.530    2.755
    71.30    4.500    4.530    2.760
    71.40    4.500    4.530    2.760
    71.50    4.500    4.530    2.760
    71.60    4.500    4.530    2.760
    71.70    4.500    4.530    2.760
    71.80    4.500    4.535    2.760
    71.90    4.500    4.535    2.760
    72.00    4.500    4.535    2.760
    72.10    4.500    4.535    2.760
    72.20    4.500    4.535    2.760
    72.30    4.500    4.535    2.760
    72.40    4.500    4.535    2.760
    72.50    4.500    4.535    2.760
    72.60    4.500    4.535    2.760
    72.70    4.500    4.535    2.760
    72.80    4.500    4.535    2.760
    72.90    4.500    4.535    2.760
    73.00    4.500    4.540    2.760
    73.10    4.500    4.540    2.760
    73.20    4.500    4.540    2.760
    73.30    4.500    4.540    2.760
    73.40    4.500    4.545    2.760
    73.50    4.500    4.545    2.760
    73.60    4.500    4.545    2.760
    73.70    4.500    4.545    2.760
    73.80    4.500    4.545    2.760
    73.90    4.500    4.545    2.760
    74.00    4.500    4.545    2.755
    74.10    4.500    4.550    2.755
    74.20    4.500    4.550    2.755
    74.30    4.500    4.550    2.755
    74.40    4.500    4.550    2.755
    74.50    4.500    4.555    2.755
    74.60    4.500    4.555    2.755
