"Date","Time","Millisecond","C1","C2","Register"
"2023/09/21","10:58:57","180","0.030000","0.020000","0.000000"
"2023/09/21","10:58:59","180","0.030000","0.020000","0.000000"
"2023/09/21","10:59:01","170","0.040000","0.020000","0.000000"
"2023/09/21","10:59:03","190","0.030000","0.020000","0.000000"
"2023/09/21","10:59:05","190","0.030000","0.030000","0.000000"
"2023/09/21","10:59:07","170","0.030000","0.020000","0.000000"
"2023/09/21","10:59:09","170","0.030000","0.020000","0.000000"
"2023/09/21","10:59:11","170","0.030000","0.030000","0.000000"
"2023/09/21","10:59:13","190","0.040000","0.020000","0.000000"
"2023/09/21","10:59:15","190","0.030000","0.020000","0.000000"
"2023/09/21","10:59:17","170","0.030000","0.020000","0.000000"
"2023/09/21","10:59:19","170","0.030000","0.020000","0.000000"
"2023/09/21","10:59:21","170","0.030000","0.020000","0.000000"
"2023/09/21","10:59:23","190","0.030000","0.030000","0.000000"
"2023/09/21","10:59:25","190","0.030000","0.030000","0.000000"
"2023/09/21","10:59:27","160","0.030000","0.020000","0.000000"
"2023/09/21","10:59:29","160","0.030000","0.020000","0.000000"
"2023/09/21","10:59:31","160","0.030000","0.020000","0.000000"
"2023/09/21","10:59:33","180","0.030000","0.020000","0.000000"
"2023/09/21","10:59:35","180","0.040000","0.030000","0.000000"
"2023/09/21","10:59:37","180","0.040000","0.030000","0.000000"
"2023/09/21","10:59:39","180","0.040000","0.020000","0.000000"
"2023/09/21","10:59:41","160","0.030000","0.020000","0.000000"
"2023/09/21","10:59:43","180","0.030000","0.020000","0.000000"
"2023/09/21","10:59:45","160","0.030000","0.020000","0.000000"
"2023/09/21","10:59:47","170","0.040000","0.020000","0.000000"
"2023/09/21","10:59:49","170","0.040000","0.030000","0.000000"
"2023/09/21","10:59:51","150","0.040000","0.020000","0.000000"
"2023/09/21","10:59:53","180","0.030000","0.020000","0.000000"
"2023/09/21","10:59:55","170","0.030000","0.030000","0.000000"
"2023/09/21","10:59:57","190","0.030000","0.020000","0.000000"
"2023/09/21","10:59:59","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:01","170","0.040000","0.020000","0.000000"
"2023/09/21","11:00:03","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:05","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:07","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:09","160","0.030000","0.020000","0.000000"
"2023/09/21","11:00:11","170","0.030000","0.020000","0.000000"
"2023/09/21","11:00:13","170","0.030000","0.020000","0.000000"
"2023/09/21","11:00:15","190","0.040000","0.020000","0.000000"
"2023/09/21","11:00:17","180","0.030000","0.020000","0.000000"
"2023/09/21","11:00:19","180","0.030000","0.020000","0.000000"
"2023/09/21","11:00:21","180","0.030000","0.020000","0.000000"
"2023/09/21","11:00:23","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:25","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:27","160","0.030000","0.020000","0.000000"
"2023/09/21","11:00:29","180","0.030000","0.020000","0.000000"
"2023/09/21","11:00:31","160","0.040000","0.030000","0.000000"
"2023/09/21","11:00:33","180","0.030000","0.020000","0.000000"
"2023/09/21","11:00:35","180","0.030000","0.020000","0.000000"
"2023/09/21","11:00:37","180","0.030000","0.020000","0.000000"
"2023/09/21","11:00:39","170","0.030000","0.020000","0.000000"
"2023/09/21","11:00:41","180","0.040000","0.020000","0.000000"
"2023/09/21","11:00:43","180","0.030000","0.020000","0.000000"
"2023/09/21","11:00:45","180","0.030000","0.030000","0.000000"
"2023/09/21","11:00:47","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:49","170","0.030000","0.020000","0.000000"
"2023/09/21","11:00:51","170","0.030000","0.020000","0.000000"
"2023/09/21","11:00:53","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:55","190","0.030000","0.020000","0.000000"
"2023/09/21","11:00:57","190","0.030000","0.030000","0.000000"
"2023/09/21","11:00:59","190","0.030000","0.030000","0.000000"
"2023/09/21","11:01:01","170","0.030000","0.020000","0.000000"
"2023/09/21","11:01:03","190","0.030000","0.020000","0.000000"
"2023/09/21","11:01:05","190","0.030000","0.020000","0.000000"
"2023/09/21","11:01:07","190","0.040000","0.030000","0.000000"
"2023/09/21","11:01:09","160","0.040000","0.020000","0.000000"
"2023/09/21","11:01:11","190","0.030000","0.020000","0.000000"
"2023/09/21","11:01:13","190","0.030000","0.030000","0.000000"
"2023/09/21","11:01:15","180","0.030000","0.030000","0.000000"
"2023/09/21","11:01:17","180","0.030000","0.030000","0.000000"
"2023/09/21","11:01:19","160","0.030000","0.020000","0.000000"
"2023/09/21","11:01:21","160","0.030000","0.020000","0.000000"
"2023/09/21","11:01:23","160","0.030000","0.020000","0.000000"
"2023/09/21","11:01:25","160","0.030000","0.020000","0.000000"
"2023/09/21","11:01:27","180","0.030000","0.020000","0.000000"
"2023/09/21","11:01:29","180","0.030000","0.030000","0.000000"
"2023/09/21","11:01:31","180","0.040000","0.020000","0.000000"
"2023/09/21","11:01:33","170","0.030000","0.020000","0.000000"
"2023/09/21","11:01:35","180","0.030000","0.020000","0.000000"
